id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type,role,rank
104,D.A. Samantha Reyes,,12,2015,0,0,0,0,0,Michelle Hurd,0,0,actor,support,7
105,Daisy 'Skye' Johnson,,7,2013,0,0,0,0,0,Chloe Bennet,0,0,actor,shield,66
106,Daniel Sousa,,11,2015,0,0,0,0,0,Enver Gjokaj,0,0,actor,support,18
107,Daniel Whitehall,,7,2013,0,0,0,0,0,Reed Diamond,0,0,actor,support,8
108,Darcy Lewis,,3,2011,0,0,0,0,0,Kat Dennings,0,0,actor,undefined,20
109,Darren Cross,,14,2015,0,0,0,0,0,Corey Stoll,0,0,actor,support,10
110,Dave,,14,2015,0,0,0,0,0,T.I.,0,0,actor,support,10
111,Debbie,,7,2013,0,0,0,0,0,Shannon Lucio,0,0,actor,support,2
112,Denarian Saal,,10,2014,0,0,0,0,0,Peter Serafinowicz,0,0,actor,support,10
113,Det. Oscar Clemons,,15,2015,0,0,0,0,0,Clarke Peters,0,0,actor,support,4
114,Detective Hoffman,,12,2015,0,0,0,0,0,Daryl Edwards,0,0,actor,support,5
115,Director Kenneth,,11,2015,0,0,0,0,0,Randy Sklar,0,0,actor,support,2
116,Donnie Gill,,7,2013,0,0,0,0,0,Dylan Minnette,0,0,actor,support,2
117,Doris Urich,,12,2015,0,0,0,0,0,Adriane Lenox,0,0,actor,support,4
118,Dormammu?,,17,2016,0,0,0,0,0,Mads Mikkelsen,0,0,actor,villain,0
119,Dorothy Walker,,15,2015,0,0,0,0,0,Rebecca De Mornay,0,0,actor,support,3
120,Dottie Underwood,,11,2015,0,0,0,0,0,Bridget Regan,0,0,actor,support,10
121,Dr. Abraham Erskine,,4,2011,0,0,0,0,0,Stanley Tucci,0,0,actor,support,10
122,Dr. Arnim Zola,,4,2011,0,0,0,0,0,Toby Jones,0,0,actor,villain,21
123,Dr. Chung,,11,2015,0,0,0,0,0,Tom Choi,0,0,actor,support,2
124,Dr. Franklin Hall,,7,2013,0,0,0,0,0,Ian Hart,0,0,actor,support,1
125,Dr. Hank Pym / Ant-Man,,14,2015,0,0,0,0,0,Michael Douglas,0,0,actor,support,10
126,Dr. Helen Cho,,13,2015,0,0,0,0,0,Claudia Kim,0,0,actor,undefined,10
127,Dr. Ivchenko,,11,2015,0,0,0,0,0,Ralph Brown,0,0,actor,support,4
128,Dr. List,,7,2013,0,0,0,0,0,Henry Goodman,0,0,actor,support,23
129,Dr. Samberly,,11,2015,0,0,0,0,0,Matt Braunger,0,0,actor,support,5
130,Dr. Stephen Strange,,17,2016,0,0,0,0,0,Benedict Cumberbatch,0,0,actor,avenger,10
131,Dr. Streiten,,7,2013,0,0,0,0,0,Ron Glass,0,0,actor,support,2
132,Drax,,10,2014,0,0,0,0,0,Dave Bautista,0,0,actor,guardian,10
133,Eddie Corbett,,1,2008,0,0,0,0,0,Brandon Cruz,0,0,actor,support,10
134,Edison Po,,7,2013,0,0,0,0,0,Cullen Douglas,0,0,actor,support,3
135,Edwin Jarvis,,11,2015,0,0,0,0,0,James D'Arcy,0,0,actor,undefined,18
136,Eir,,8,2013,0,0,0,0,0,Alice Krige,0,0,actor,support,10
137,Elektra Natchios,,12,2015,0,0,0,0,0,Elodie Yung,0,0,actor,undefined,10
138,Elena Cardenas,,12,2015,0,0,0,0,0,Judith Delgado,0,0,actor,support,4
139,Elena 'Yo-Yo' Rodriguez,,7,2013,0,0,0,0,0,Natalia Cordova-Buckley,0,0,actor,support,3
140,Ellen King,,7,2013,0,0,0,0,0,Melissa Bickerton,0,0,actor,support,1
141,Elon Musk,,2,2010,0,0,0,0,0,Elon Musk,0,0,actor,support,10
142,Emil Blonsky,,1,2008,0,0,0,0,0,Tim Roth,0,0,actor,support,10
143,Emily,,14,2015,0,0,0,0,0,Lyndsi LaRose,0,0,actor,support,10
144,Emily Deville,,7,2013,0,0,0,0,0,Felisha Terrell,0,0,actor,support,1
145,Erik Selvig,,3,2011,0,0,0,0,0,Stellan Skarsgård,0,0,actor,undefined,40
146,Everett K. Ross,,16,2016,0,0,0,0,0,Martin Freeman,0,0,actor,support,10
147,F.R.I.D.A.Y.,,13,2015,0,0,0,0,0,Kerry Condon,0,0,actor,support,20
148,Fandral,,3,2011,0,0,0,0,0,Josh Dallas,0,0,actor,support,20
149,Fandral,,8,2013,0,0,0,0,0,Zachary Levi,0,0,actor,support,20
150,Father Lantom,,12,2015,0,0,0,0,0,Peter McRobbie,0,0,actor,support,6
151,Felix Blake,,7,2013,0,0,0,0,0,Titus Welliver,0,0,actor,support,3
152,Foggy Nelson,,12,2015,0,0,0,0,0,Elden Henson,0,0,actor,undefined,26
153,Frank Castle,,12,2015,0,0,0,0,0,Jon Bernthal,0,0,actor,undefined,12
154,Frigga,,3,2011,0,0,0,0,0,Rene Russo,0,0,actor,undefined,20
155,Gabe Jones,,4,2011,0,0,0,0,0,Derek Luke,0,0,actor,support,10
156,Gamora,,10,2014,0,0,0,0,0,Zoe Saldana,0,0,actor,guardian,10
157,General Gabriel,,0,2008,0,0,0,0,0,Bill Smitrovich,0,0,actor,support,10
158,General Jacobs,,7,2013,0,0,0,0,0,Glenn Morshower,0,0,actor,support,2
159,General 'Thunderbolt' Ross,,1,2008,0,0,0,0,0,William Hurt,0,0,actor,undefined,20
160,George Kotsiopoulos,,6,2013,0,0,0,0,0,George Kotsiopoulos,0,0,actor,support,10
161,Georges Batroc,,9,2014,0,0,0,0,0,Georges St-Pierre,0,0,actor,support,10
162,Georgi Luchkov,,5,2012,0,0,0,0,0,Jerzy Skolimowski,0,0,actor,support,10
163,Gideon Malick,,5,2012,0,0,0,0,0,Powers Boothe,0,0,actor,support,11
164,Glenn Talbot,,7,2013,0,0,0,0,0,Adrian Pasdar,0,0,actor,support,11
165,Gordon,,7,2013,0,0,0,0,0,Jamie Harris,0,0,actor,support,11
166,Grandpa,,10,2014,0,0,0,0,0,Gregg Henry,0,0,actor,support,10
167,Grant Ward,,7,2013,0,0,0,0,0,Brett Dalton,0,0,actor,villain,58
168,Groot,,10,2014,0,0,0,0,0,Vin Diesel,0,0,actor,guardian,10
169,Grotto,,12,2015,0,0,0,0,0,McCaleb Burnett,0,0,actor,support,3
170,Hank,,11,2015,0,0,0,0,0,Chris Coppola,0,0,actor,support,2
171,Hannah,,7,2013,0,0,0,0,0,Laura Seay,0,0,actor,support,1
172,Happy Hogan,,0,2008,0,0,0,0,0,Jon Favreau,0,0,actor,undefined,30
173,Happy Sam Sawyer,,11,2015,0,0,0,0,0,Leonard Roberts,0,0,actor,support,1
174,Harley Keener,,6,2013,0,0,0,0,0,Ty Simpkins,0,0,actor,support,10
175,Heimdall,,3,2011,0,0,0,0,0,Idris Elba,0,0,actor,undefined,30
176,Heinz Kruger,,4,2011,0,0,0,0,0,Richard Armitage,0,0,actor,support,10
177,Hirochi,,12,2015,0,0,0,0,0,Ron Nakahara,0,0,actor,support,5
178,Ho Yinsen,,0,2008,0,0,0,0,0,Shaun Toub,0,0,actor,undefined,20
179,Hogun,,3,2011,0,0,0,0,0,Tadanobu Asano,0,0,actor,support,20
180,Holden Radcliffe,,7,2013,0,0,0,0,0,John Hannah,0,0,actor,support,3
181,Hope Shlottman,,15,2015,0,0,0,0,0,Erin Moriarty,0,0,actor,support,7
182,Hope van Dyne / Vasp?,,14,2015,0,0,0,0,0,Evangeline Lilly,0,0,actor,avenger,10
183,Howard Stark,,4,2011,0,0,0,0,0,Dominic Cooper,0,0,actor,shield,55
184,Howard Stark,,0,2008,0,0,0,0,0,Gerard Sanders,0,0,actor,shield,55
185,Howard Stark,,2,2010,0,0,0,0,0,John Slattery,0,0,actor,shield,55
186,Howard the Duck,,10,2014,0,0,0,0,0,Seth Green,0,0,actor,support,10
187,Hugh Jones,,11,2015,0,0,0,0,0,Ray Wise,0,0,actor,support,4
188,Ian Boothby,,8,2013,0,0,0,0,0,Jonathan Howard,0,0,actor,support,10
189,Ian Quinn,,7,2013,0,0,0,0,0,David Conrad,0,0,actor,support,7
190,Idaho,,7,2013,0,0,0,0,0,Wilmer Calderon,0,0,actor,support,2
191,Isabela Alvarez,,3,2011,0,0,0,0,0,Adriana Barraza,0,0,actor,support,10
192,Isabelle 'Izzy' Hartley,,7,2013,0,0,0,0,0,Lucy Lawless,0,0,actor,support,2
193,Ivan Vanko / Whiplash,,2,2010,0,0,0,0,0,Mickey Rourke,0,0,actor,villain,10
194,Jack,,2,2010,0,0,0,0,0,Jack White,0,0,actor,support,10
195,Jack Murdock,,12,2015,0,0,0,0,0,John Patrick Hayden,0,0,actor,support,2
196,Jack Rollins,,9,2014,0,0,0,0,0,Callan Mulvey,0,0,actor,support,10
197,Jack Thompson,,11,2015,0,0,0,0,0,Chad Michael Murray,0,0,actor,support,14
198,Jacques Dernier,,4,2011,0,0,0,0,0,Bruno Ricci,0,0,actor,support,10
199,Jacques Duchamps,,12,2015,0,0,0,0,0,Gilles Marini,0,0,actor,support,1
200,James,,7,2013,0,0,0,0,0,Axle Whitehead,0,0,actor,support,4
201,James Montgomery Falsworth,,4,2011,0,0,0,0,0,JJ Feild,0,0,actor,support,10
202,James Rhodes / War Machine,,2,2010,0,0,0,0,0,Don Cheadle,0,0,actor,avenger,50
203,James Rhodes / War Machine,,0,2008,0,0,0,0,0,Terrence Howard,0,0,actor,avenger,50
204,James Wesley,,12,2015,0,0,0,0,0,Toby Leonard Moore,0,0,actor,villain,10
205,Jane Foster,,3,2011,0,0,0,0,0,Natalie Portman,0,0,actor,undefined,20
206,Janet Van Dyne / Vasp,,14,2015,0,0,0,0,0,Hayley Lovitt,0,0,actor,support,10
207,Jarvis / Vision,,0,2008,0,0,0,0,0,Paul Bettany,0,0,actor,avenger,60
208,Jason Wilkes,,11,2015,0,0,0,0,0,Reggie Austin,0,0,actor,support,10
209,Jemma Simmons,,7,2013,0,0,0,0,0,Elizabeth Henstridge,0,0,actor,shield,66
210,Jeri Hogarth,,12,2015,0,0,0,0,0,Carrie-Anne Moss,0,0,actor,undefined,11
