order,movie,year,actor,character,rank
6,Homem de Ferro 3,2013,William Sadler,President Ellis,10
6,Homem de Ferro 3,2013,Ty Simpkins,Harley Keener,10
6,Homem de Ferro 3,2013,Shaun Toub,Ho Yinsen,10
6,Homem de Ferro 3,2013,Pat Kiernan,Pat Kiernan,10
6,Homem de Ferro 3,2013,Thomas Roberts,Thomas Roberts,10
6,Homem de Ferro 3,2013,Bill Maher,Bill Maher,10
6,Homem de Ferro 3,2013,Joan Rivers,Joan Rivers,10
6,Homem de Ferro 3,2013,George Kotsiopoulos,George Kotsiopoulos,10
6,Homem de Ferro 3,2013,Ashley Hamilton,Taggart,10
6,Homem de Ferro 3,2013,Stan Lee,Pageant Judge,10
6,Homem de Ferro 3,2013,Adam Pally,Gary the Cameraman,10
6,Homem de Ferro 3,2013,Susie Pratt,Bambi Arbogast,10
6,Homem de Ferro 3,2013,Mark Ruffalo,Bruce Banner,10
7,Agentes da S.H.I.E.L.D.,2013,Clark Gregg,Phil Coulson,66
7,Agentes da S.H.I.E.L.D.,2013,Ming-Na Wen,Melinda May,66
7,Agentes da S.H.I.E.L.D.,2013,Chloe Bennet,Daisy 'Skye' Johnson,66
7,Agentes da S.H.I.E.L.D.,2013,Iain De Caestecker,Leo Fitz,66
7,Agentes da S.H.I.E.L.D.,2013,Elizabeth Henstridge,Jemma Simmons,66
7,Agentes da S.H.I.E.L.D.,2013,Brett Dalton,Grant Ward,58
7,Agentes da S.H.I.E.L.D.,2013,Henry Simmons,Alphonso 'Mack' Mackenzie,44
7,Agentes da S.H.I.E.L.D.,2013,Nick Blood,Lance Hunter,35
7,Agentes da S.H.I.E.L.D.,2013,Adrianne Palicki,Bobbi Morse,31
7,Agentes da S.H.I.E.L.D.,2013,Luke Mitchell,Lincoln Campbell,29
7,Agentes da S.H.I.E.L.D.,2013,B.J. Britt,Antoine Triplett,18
7,Agentes da S.H.I.E.L.D.,2013,Ruth Negga,Raina,17
7,Agentes da S.H.I.E.L.D.,2013,Kyle MacLachlan,Calvin Zabo,13
7,Agentes da S.H.I.E.L.D.,2013,J. August Richards,Mike Peterson,11
7,Agentes da S.H.I.E.L.D.,2013,Powers Boothe,Gideon Malick,11
7,Agentes da S.H.I.E.L.D.,2013,Jamie Harris,Gordon,11
7,Agentes da S.H.I.E.L.D.,2013,Simon Kassianides,Sunil Bakshi,11
7,Agentes da S.H.I.E.L.D.,2013,Adrian Pasdar,Glenn Talbot,11
7,Agentes da S.H.I.E.L.D.,2013,Blair Underwood,Andrew Garner,10
7,Agentes da S.H.I.E.L.D.,2013,Dichen Lachman,Jiaying,9
7,Agentes da S.H.I.E.L.D.,2013,Mark Dacascos,Mr. Giyera,9
7,Agentes da S.H.I.E.L.D.,2013,Christine Adams,Agent Weaver,9
7,Agentes da S.H.I.E.L.D.,2013,Reed Diamond,Daniel Whitehall,8
7,Agentes da S.H.I.E.L.D.,2013,Constance Zimmer,Rosalind Price,8
7,Agentes da S.H.I.E.L.D.,2013,Maya Stojan,Kara Lynn Palamas,8
7,Agentes da S.H.I.E.L.D.,2013,David Conrad,Ian Quinn,7
7,Agentes da S.H.I.E.L.D.,2013,Patton Oswalt,Billy Koenig,7
7,Agentes da S.H.I.E.L.D.,2013,Bill Paxton,John Garrett,6
7,Agentes da S.H.I.E.L.D.,2013,Juan Pablo Raba,Joey Gutierrez,6
7,Agentes da S.H.I.E.L.D.,2013,Andrew Howard,Luther Banks,6
7,Agentes da S.H.I.E.L.D.,2013,Alicia Vela-Bailey,Alisha,6
7,Agentes da S.H.I.E.L.D.,2013,Matthew Willig,Lash,5
7,Agentes da S.H.I.E.L.D.,2013,Edward James Olmos,Robert Gonzales,5
7,Agentes da S.H.I.E.L.D.,2013,Daz Crawford,Kebo,5
7,Agentes da S.H.I.E.L.D.,2013,Mark Allan Stewart,Agent Oliver,5
7,Agentes da S.H.I.E.L.D.,2013,Saffron Burrows,Victoria Hand,4
7,Agentes da S.H.I.E.L.D.,2013,Spencer Treat Clark,Alexander Braun,4
7,Agentes da S.H.I.E.L.D.,2013,Axle Whitehead,James,4
7,Agentes da S.H.I.E.L.D.,2013,Titus Welliver,Felix Blake,3
7,Agentes da S.H.I.E.L.D.,2013,Maximiliano Hernández,Jasper Sitwell,3
7,Agentes da S.H.I.E.L.D.,2013,Cullen Douglas,Edison Po,3
7,Agentes da S.H.I.E.L.D.,2013,William Sadler,President Ellis,3
7,Agentes da S.H.I.E.L.D.,2013,Cobie Smulders,Maria Hill,3
7,Agentes da S.H.I.E.L.D.,2013,Brian Patrick Wade,Carl Creel,3
7,Agentes da S.H.I.E.L.D.,2013,Jeffrey Muller,Agent Kaminsky,3
7,Agentes da S.H.I.E.L.D.,2013,Henry Goodman,Dr. List,3
7,Agentes da S.H.I.E.L.D.,2013,Raquel Gardner,Carla Talbot,3
7,Agentes da S.H.I.E.L.D.,2013,Natalia Cordova-Buckley,Elena 'Yo-Yo' Rodriguez,3
7,Agentes da S.H.I.E.L.D.,2013,John Hannah,Holden Radcliffe,3
7,Agentes da S.H.I.E.L.D.,2013,Jaimie Alexander,Lady Sif,2
7,Agentes da S.H.I.E.L.D.,2013,Elena Satine,Lorelei,2
7,Agentes da S.H.I.E.L.D.,2013,Shannon Lucio,Debbie,2
7,Agentes da S.H.I.E.L.D.,2013,Peter MacNicol,Professor Elliot Randolph,2
7,Agentes da S.H.I.E.L.D.,2013,Patrick Brennan,Marcus Daniels,2
